Year,Level,Code,Total,Value_added,Value_prod
2017,4,0741433,374,5791012.12,14061422.36
2017,4,0741448,745,8700768.12,24471506.12
2017,4,0741464,408,4630174.46,13123725.53
2017,4,0760201,2620,30268976.64,84887216.65
2017,4,0760244,161,1883187.34,5580556.12
2017,4,0760256,152,1053281.91,3334818.31
2017,4,0760258,306,3621808.48,9062211.38
2017,4,0760274,241,2363513.37,5283440.46
2017,4,0761211,2752,45437695.09,104646038.58
2017,4,0761252,237,2962631.04,6994695.68
2017,4,0761266,358,4482231.51,10073848.47
2017,4,0761268,238,2406873.61,4963159.27
2017,4,0761282,154,1575648.15,3937735.43
2017,4,0761286,250,4635963.69,9941549.74
2017,4,0766348,211,1744349.26,4449892.93
2017,4,0766362,390,3738610.06,10558852.63
2017,4,0766370,375,3369179.32,8685074.40
2017,4,0766376,74,414762.84,1126345.29
2017,4,0766378,136,1518662.06,3865812.89
2017,4,0766380,207,1876742.21,5255860.93
2017,4,0769164,146,1164429.76,3411240.91
2017,4,0769190,189,1859282.30,5076897.15
2017,4,0769194,110,894000.68,2632406.37
2017,4,0780242,299,3256890.48,8737811.02
2017,4,0780244,201,1640628.16,4195486.81
2017,4,0780246,352,3854761.47,9756343.33
2017,4,0780250,251,1688009.94,4506418.84
2017,4,0780252,204,1556052.11,3869715.22
2017,4,0780254,256,2501194.99,6326175.49
2017,4,0780256,636,8511770.55,20742880.69
2017,4,0780258,190,2538751.62,7011260.27
2017,4,0780260,115,1464064.66,4207353.00
2017,4,0780262,327,3368698.93,7728404.12
2017,4,0780266,190,2371853.80,5270668.86
2017,4,0780268,291,2534002.96,5997024.58
2017,4,0780270,928,7995100.19,20968535.86
2017,4,0780272,131,1514397.21,3819489.86
2017,4,0780274,116,1199338.01,3014144.57
2017,4,0780276,646,7784018.79,19489101.89
2017,4,0780278,298,4141958.37,10226503.85
2017,4,0780280,93,1130244.63,2336867.12
2017,4,0780282,200,2114513.34,4800759.83
2017,4,0780284,291,2550704.44,6699814.25
2017,4,0780286,376,4363136.89,11846307.57
2017,4,0780288,641,5372969.24,13607084.50
2017,4,0780292,194,1713204.74,4374086.35
2017,4,0780294,214,1654748.41,4753374.78
2017,4,0780296,539,6533449.75,15569620.23
2017,4,0781817,1009,10999496.98,25172364.47
2017,4,0781848,232,2757760.09,7111084.25
2017,4,0781890,166,2073501.34,3984312.04
2017,4,0781898,471,5312613.22,11503566.47
2017,4,0800605,1571,23896212.86,64933335.01
2017,4,0800625,703,10655181.94,30223203.86
2017,4,0800807,3122,60686921.44,190588831.60
2017,4,0800856,482,8364629.85,20021858.76
2017,4,0800870,6957,122103123.61,311098634.44
2017,4,0801009,5133,91673405.11,230313122.93
2017,4,0801080,3874,63590599.59,157093530.34
2017,4,0801211,8099,153516454.87,363108268.88
2017,4,0801231,2099,42408208.87,108838930.23
2017,4,0801413,1211,17493469.25,44159211.75
2017,4,0801433,1177,17718971.65,43806503.03
2017,4,0801615,4916,81830426.14,201796896.01
2017,4,0801642,701,12688137.35,36116749.64
2017,4,0801666,237,2910442.09,7585084.58
2017,4,0801694,1565,24488880.14,64854716.11
2017,4,0801817,1497,28147954.40,70541057.61
2017,4,0801864,1843,34822305.94,101642852.92
2017,4,0804400,5118,96432142.07,233480664.15
2017,4,0804948,3954,75550725.64,197631275.51
2017,4,0804988,649,9801122.47,24914636.93
2017,4,0805200,4113,75186605.32,181284381.45
2017,4,0806000,3807,94008034.60,221679251.59
2017,4,0806956,521,7387774.43,23350953.21
2017,4,0806968,1574,24267609.45,59681476.54
2017,4,0807400,1461,22219889.36,58004613.04
2017,4,0807600,9602,207558976.26,556945882.43
2017,4,0808400,3017,45991908.67,117561101.83
2017,4,0809200,932,13832457.85,38443410.97
2017,4,0809600,4811,91973667.67,222477058.43
2017,4,0840201,4131,63970362.08,190540036.95
2017,4,0840248,357,3650806.13,8578736.94
2017,4,0840256,93,1417498.37,3997946.49
2017,4,0840258,216,2570967.98,7354282.90
2017,4,0840262,270,4488310.41,13633832.22
2017,4,0840266,454,6534541.54,17877764.11
2017,4,0840270,470,5107763.51,13718775.82
2017,4,0840272,602,9481834.06,27345047.93
2017,4,0840276,270,5021160.00,10102549.11
2017,4,0840282,226,2142742.81,6656424.97
2017,4,0840286,635,9735635.11,25283838.35
2017,4,0840288,154,1603857.49,4894295.15
2017,4,0840292,118,1183867.21,3405040.14
2017,4,0840294,181,2262692.10,6444210.62
2017,4,0840296,553,10280593.54,25855011.17
2017,4,0840298,117,1302694.15,3735075.17
2017,4,0840605,1165,22543976.15,73258301.77
2017,4,0840625,331,4576847.86,14756423.28
2017,4,0840644,245,3325962.94,8234224.84
2017,4,0840652,201,2939786.91,9372833.47
2017,4,0840680,228,4134131.40,12317805.29
2017,4,0880201,3752,50506295.21,145311761.64
2017,4,0880213,462,6466552.08,17239600.68
2017,4,0880215,622,9522259.13,28316809.83
2017,4,0880217,476,5552762.81,13544659.96
2017,4,0880237,246,3115732.33,8515974.93
2017,4,0880242,330,4528280.99,12605251.30
2017,4,0880246,287,3933220.32,9383229.31
2017,4,0880254,804,11583504.65,32770006.47
2017,4,0880258,156,2034196.88,6948827.76
2017,4,0880264,129,1820011.49,5839775.38
2017,4,0880268,664,8351069.43,24645394.17
2017,4,0880270,464,5961654.47,21700563.89
2017,4,0880272,695,9291701.58,26772048.63
2017,4,0880274,172,1332718.80,4009837.06
2017,4,0880286,121,1270386.36,3247817.81
2017,4,0880292,415,7249870.51,20902446.18
2017,4,0880294,582,6822572.58,22256702.33
2017,4,0880296,296,4699611.77,14559770.15
2017,4,0885150,985,13365583.93,35186018.06
2017,4,0885162,334,3434138.86,9533388.08
2017,4,0887600,548,6147192.52,15200756.93
2017,4,0888301,1339,15139226.98,38375696.30
2017,4,0900201,7079,95695194.17,254610724.18
2017,4,0900246,233,4383025.02,9716534.01
2017,4,0900248,504,7319313.68,18058342.55
2017,4,0900254,468,5131821.23,13008466.19
2017,4,0900258,302,4119235.84,12005689.02
2017,4,0900268,227,3179952.92,7087220.70
2017,4,0900274,570,7308328.67,24231968.37
2017,4,0900278,461,6975900.38,18910952.97
2017,4,0900280,653,9266560.30,22683742.77
2017,4,0900284,706,10946456.00,27499983.33
2017,4,0900296,159,1843059.95,4870759.32
2017,4,0901211,1409,15697897.43,41890591.33
2017,4,0901244,192,2170928.12,6119518.86
2017,4,0901262,418,5227110.27,14821851.89
2017,4,0901270,183,1722859.46,4461204.25
2017,4,0901288,235,3770103.31,10828498.05
2017,4,0901292,165,2275648.27,5562293.04
2017,4,0901294,230,2476583.74,6846080.38
2017,4,0905150,887,10956979.66,30708169.42
2017,4,0905166,855,12634281.14,29299241.51
2017,4,0905182,932,12989919.77,33730767.67
2017,4,0905756,746,11840194.60,29851394.17
2017,4,0905790,103,998494.18,3517601.44
2017,4,0940201,1778,20753712.63,53732661.49
2017,4,0940252,306,2911305.62,8798672.26
2017,4,0940266,193,1806148.11,5302748.98
2017,4,0940288,329,4090636.13,11763395.06
2017,4,0940292,251,3341319.88,8577909.39
2017,4,0940296,110,1171255.42,4773559.72
2017,4,0941615,2223,38550424.86,112997222.85
2017,4,0941644,395,5097229.79,14505195.40
2017,4,0941646,315,4520535.34,15302882.63
2017,4,0941648,231,3571950.39,10203364.96
2017,4,0941658,286,3287830.69,10075281.04
2017,4,0941670,433,10743091.55,37595318.88
2017,4,0941674,344,4333218.73,11601524.64
2017,4,0941680,362,5142785.74,15714945.44
2017,4,0941690,257,3614992.04,8792721.51
2017,4,0941813,299,2850943.57,7684329.42
2017,4,0941817,425,4465267.16,11191447.76
2017,4,0941860,161,1914244.88,5363885.89
2017,4,0941876,165,2135583.00,6533161.93
2017,4,0960244,202,2752635.58,6908530.27
2017,4,0960252,393,4986287.26,12673440.11
2017,4,0960264,1126,15248290.35,40908369.29
2017,4,0960288,385,4926549.90,12545639.84
2017,4,0960296,241,3929426.79,10165181.51
2017,4,0961011,356,3545959.21,7758696.02
2017,4,0961031,211,2201044.55,5832277.31
2017,4,0961076,113,1004835.12,2340473.47
2017,4,0961082,87,888238.20,1954740.60
2017,4,0961084,227,2810107.05,5707600.90
2017,4,0961615,1100,12699269.03,29216824.19
2017,4,0961656,50,913051.16,2051336.22
2017,4,0961658,324,3591963.32,9466442.79
2017,4,0961668,91,821004.65,2159215.65
2017,4,0961694,141,1524079.55,3967285.94
2017,4,0964746,322,4554263.14,11977908.76
2017,4,0964762,525,7828626.44,22665182.43
2017,4,0964784,298,5651127.22,13784441.70
2017,4,0967148,384,4745474.92,12483868.36
2017,4,0967154,139,2133967.06,6745212.19
2017,4,0967170,273,3463882.73,8847895.24
2017,4,0967178,411,5661609.73,14991664.38
2017,4,0967190,1418,19833478.13,54015155.27
2017,4,0967192,108,1223003.85,3212642.90
2017,4,0967366,198,2580730.92,5411233.96
2017,4,0967372,413,4690556.76,10623360.34
2017,4,0980213,387,5521106.17,15006409.36
2017,4,0980233,135,1613951.40,4205661.44
2017,4,0980244,206,3176353.23,6935845.55
2017,4,0980250,93,1073963.91,2372930.86
2017,4,0980256,355,4249934.57,10483153.33
2017,4,0980260,305,3744121.84,10540093.78
2017,4,0980266,730,11907122.64,33228619.00
2017,4,0980270,719,11888875.35,28204819.70
2017,4,0980274,169,3254480.26,8002876.51
2017,4,0980278,202,3314215.30,8746570.88
2017,4,0980284,656,9745179.04,27815524.00
2017,4,0980290,149,2091071.40,7407880.11
2017,4,0980294,180,2706936.66,7552785.05
2017,4,UNK,5830,132051981.59,399947480.80
2017,5,0010001,190,4158533.40,8917083.46
2017,5,0010002,10861,161665300.69,388645184.36
2017,5,0010003,1789,45245531.90,106030790.71
2017,5,0010004,547,8171574.95,23055505.62
2017,5,0010005,15344,253960276.99,609307889.57
2017,5,0010006,3569,69588447.95,171333937.78
2017,5,0010007,995,16125261.41,41113799.82
2017,5,0010008,35,422877.62,1087601.25
2017,5,0010009,1060,16888972.80,42941268.00
2017,5,0010010,18915,315134032.20,801935960.25
2017,5,0010011,562,9433767.04,22715042.96
2017,5,0010012,5361,111197042.42,269705856.09
2017,5,0010013,6443,117580935.17,268953533.10
2017,5,0010014,7640,119708506.12,298412087.44
2017,5,0010015,11143,167486315.47,413786858.87
2017,5,0010016,121,2204492.97,5569411.45
2017,5,0010017,369,5299258.50,12908138.91
2017,5,0010018,9329,147485177.91,379075632.47
2017,5,0010019,115,1992685.88,4757900.66
2017,5,0010020,172,2375355.43,5967984.32
2017,5,0010021,1112,15683127.38,40810735.36
2017,5,0010022,3747,64110698.50,158876740.51
2017,5,0010023,21040,329341231.06,798039653.72
2017,5,0010024,325,5182681.66,15516488.06
2017,5,0010025,24963,421284256.41,1010924098.06
2017,5,0010026,13145,240478773.35,541359952.43
2017,5,0010027,11776,205781041.56,473123868.85
2017,5,0010028,8505,139140384.33,354033719.93
2017,5,0010029,101,1540531.86,3661665.78
2017,5,0010030,1598,27252978.78,61611271.19
2017,5,0010031,3547,71534441.35,158733001.31
2017,5,0010032,2971,45399654.18,132804055.25
2017,5,0010033,212,4712821.56,9447599.88
2017,5,0010034,14615,316039583.43,787621728.43
2017,5,0010035,40,303749.30,1020449.20
2017,5,0010036,2288,40476807.60,103884935.22
2017,5,0010037,1717,27867406.65,69424867.97
2017,5,0010038,2962,45231604.03,112979069.29
2017,5,0010039,535,8087186.03,22983008.90
2017,5,0010040,19570,319462333.87,770582657.57
2017,5,0010041,7715,148999402.64,353516642.27
2017,5,0010042,2331,48876500.25,123383960.00
2017,5,0010043,5123,81893844.43,204400811.70
2017,5,0010044,10156,161267891.41,385413557.59
2017,5,0010045,684,12471549.16,36198899.72
2017,5,0010046,1197,29158809.21,65585177.15
2017,5,0010047,770,38488166.91,146364711.93
2017,5,0010048,729,9826385.53,26471132.27
2017,5,0010049,394,11003588.52,26162982.35
2017,5,0010050,8775,144008933.53,383533755.09
2017,5,0010051,6270,122617564.61,321728550.55
2017,5,0010052,78,1080313.39,2798920.91
2017,5,0010053,6082,94229419.09,252912370.61
2017,5,0010054,2379,38312406.91,95022770.57
2017,5,0010055,187,3918741.66,9754511.79
2017,5,0010056,2880,47981665.32,115376688.68
2017,5,0010057,934,27736496.82,58681118.87
2017,5,0010058,663,10074503.15,26763741.63
2017,5,UNK,2088,34604902.36,82696502.90
2017,7,LVDPA0001,292196,5086384816.76,12460596414.96
2017,7,LVDPA0002,24807,392819110.86,978138025.93
2017,7,LVDPA0003,19580,317249696.86,768937542.03
2017,7,LVDPA0004,2559,37471797.86,93548727.13
2017,7,LVDPA0005,30507,335320555.21,813207204.96
2017,7,LVDPA0006,11881,141190329.64,349691073.53
2017,7,LVDPA0007,26424,379474302.61,934085006.23
2017,7,LVDPA0008,14517,272966704.03,701007209.09
2017,7,LVDPA0009,8865,116261667.74,312961266.98
2017,7,LVDPA0010,6777,94946884.03,238594130.69
2017,7,LVDPA0011,11389,171739377.13,437246507.92
2017,7,LVDPA0012,10828,161468295.20,440534140.98
2017,7,LVDPA0013,4599,73053591.18,213222039.17
2017,7,LVDPA0014,6835,91883357.00,246970021.36
2017,7,LVDPA0015,4705,54917166.24,138697943.49
2017,7,LVDPA0016,4867,63541594.53,166328838.15
2017,7,LVDPA0017,5940,98478506.42,245284888.88
2017,7,LVDPA0018,3121,28931647.07,76036906.33
2017,7,LVDPA0019,3206,39973558.91,104225345.46
2017,7,LVDPA0020,4362,71177852.22,226384880.50
2017,7,LVDPA0021,373,5423289.98,12628467.09
2017,7,LVDPA0022,3007,35620364.67,90427148.46
2017,7,LVDPA0023,2683,40272912.44,100021760.06
2017,7,LVDPA0024,2510,47286259.97,112615055.46
2017,7,LVDPA0025,3690,49169394.79,141752604.47
2017,7,LVDPA0026,3630,59485459.40,160917684.68
2017,7,LVDPA0027,1754,22168759.72,56830754.65
2017,7,LVDPA0028,2992,24665493.41,57883179.18
2017,7,LVDPA0029,2741,27891122.26,68693211.61
2017,7,LVDPA0030,2427,41492709.22,121478871.20
2017,7,LVDPA0031,3228,42535453.48,108439347.89
2017,7,LVDPA0032,2094,17928581.02,39798332.98
2017,7,LVDPA0033,2807,46071177.63,106456613.70
2017,7,LVDPA0034,176,2955850.24,7812516.44
2017,7,LVDPA0035,1088,15250690.63,40236110.99
2017,7,LVDPA0036,1104,11787631.27,27150129.79
2017,7,LVDPA0037,3113,63003133.64,143907305.89
2017,7,LVDPA0038,963,10667059.61,24807073.56
2017,7,LVDPA0039,843,12325752.46,28589289.76
2017,7,LVDPA0040,825,7160184.20,18918304.38
2017,7,LVDPA0041,688,5161608.93,11902366.67
2017,7,LVDPA0042,1773,20572171.21,52589265.22
2017,7,LVDPA0043,737,8730794.84,24409383.26
2017,7,LVDPA0044,1490,22713077.30,61409113.79
2017,7,LVDPA0045,435,3078046.34,7445004.10
2017,7,LVDPA0046,1045,15450150.97,41712197.28
2017,7,LVDPA0047,1424,15853686.33,42570552.61
2017,7,LVDPA0048,1722,23568491.54,62811699.23
2017,7,LVDPA0050,834,6405813.76,13540995.80
2017,7,LVDPA0051,1116,14635099.13,35923494.21
2017,7,LVDPA0052,515,3895813.04,9572442.28
2017,7,LVDPA0053,2687,31079381.06,86797195.52
2017,7,LVDPA0054,635,9703213.10,32413956.21
2017,7,LVDPA0055,790,9065598.63,24729369.05
2017,7,LVDPA0056,995,10323982.12,26281466.79
2017,7,LVDPA0057,476,4863626.64,12394612.97
2017,7,LVDPA0059,3117,68385286.50,157074816.01
2017,7,LVDPA0060,2292,41719837.06,111688523.82
2017,7,LVDPA0061,8914,180687559.68,440575076.11
2017,7,LVDPA0062,1136,17162489.87,40866035.19
2017,7,LVDPA0063,729,9212463.08,23526051.56
2017,7,LVDPA0064,951,14328960.84,34314995.18
2017,7,LVDPA0065,607,7661653.72,20420427.67
2017,7,LVDPA0066,564,5669524.15,12493878.71
2017,7,LVDPA0067,450,5343796.69,14185241.74
2017,7,LVDPA0068,187,1901013.82,5464093.30
2017,7,LVDPA0069,502,5651355.24,18235214.45
2017,7,LVDPA0070,864,10153847.66,27716445.59
2017,7,LVDPA0071,217,4021406.48,11492287.30
2017,7,LVDPA0072,645,7736880.07,19709668.86
2017,7,LVDPA0073,522,7238001.86,19264080.35
2017,7,LVDPA0074,685,11151729.61,26780305.49
2017,7,LVDPA0075,347,4276524.98,11885689.24
2017,7,LVDPA0076,1213,11722229.83,29442959.10
2017,7,LVDPA0077,371,4845373.00,14286538.14
2017,7,LVDPA0078,787,7730314.74,15604059.57
2017,7,LVDPA0079,629,10066126.66,29892312.35
2017,7,LVDPA0080,3093,58489754.03,158041125.34
2017,7,LVDPA0081,46,504157.92,1347316.15
2017,7,LVDPA0082,882,9768788.39,23999524.56
2017,7,LVDPA0083,490,5622690.22,17335107.12
2017,7,LVDPA0084,161,1340401.61,2788425.60
2017,7,LVDPA0085,451,5575901.80,13277472.94
2017,7,LVDPA0086,417,4286811.82,10865495.08
2017,7,LVDPA0087,590,5958345.77,15029187.68
2017,7,LVDPA0088,973,21055915.17,46846299.58
2017,7,LVDPA0089,831,12428690.79,32646356.13
2017,7,LVDPA0090,1330,25765233.32,61645516.16
2017,7,LVDPA0091,837,17050353.15,51413640.20
2017,7,LVDPA0092,40,576875.94,1321878.28
2017,7,LVDPA0093,308,3733957.95,8691919.07
2017,7,LVDPA0094,345,4843631.52,12603007.16
2017,7,LVDPA0095,525,7682064.37,19010089.20
2017,7,LVDPA0096,249,3239050.62,8512541.61
2017,7,LVDPA0097,328,3069832.78,8011730.54
2017,7,LVDPA0098,318,2381774.67,5981804.17
2017,7,LVDPA0099,528,8513834.87,20816557.80
2017,7,LVDPA0100,609,9529062.42,24235962.73
2017,7,LVDPA0102,870,11181429.37,29647526.49
2017,7,LVDPA0103,1735,32991192.39,83334866.38
2017,7,LVDPA0104,1060,16888972.80,42941268.00
2017,7,LVDPA0105,646,10787239.70,26533972.46
2017,7,LVDPA0106,380,3664925.84,7875282.67
2017,7,LVDPA0107,563,6092952.73,18000159.37
2017,7,LVDPA0108,768,13447535.75,30588075.78
2017,7,LVDPA0109,285,3446976.73,8952909.28
2017,7,LVDPA0110,430,5346628.46,13544673.48
2017,7,LVDPA0111,1156,22432683.70,55420777.32
2017,7,LVDPA0112,345,4623400.58,13834110.02
2017,7,LVDPA0113,6521,112638090.40,286656935.52
2017,7,LVDPA0114,148,1783617.01,5504616.09
2017,7,LVDPA0115,779,9700674.39,21966042.73
2017,7,LVDPA0116,179,1240824.16,3578937.26
2017,7,LVDPA0117,476,5564889.40,13590845.54
2017,7,LVDPA0118,462,7249376.75,19854666.79
2017,7,LVDPA0119,368,5063257.10,14654103.16
2017,7,LVDPA0120,418,4163288.30,10681882.21
2017,7,LVDPA0121,129,1228634.14,2280201.56
2017,7,LVDPA0122,485,10170502.49,23116276.09
2017,7,LVDPA0123,169,3220715.51,6979147.48
2017,7,LVDPA0124,492,7296465.45,30105006.50
2017,7,LVDPA0125,462,5079774.91,14805111.98
2017,7,LVDPA0126,485,6855758.87,18348200.88
2017,7,LVDPA0128,188,1775834.29,4335502.68
2017,7,LVDPA0129,191,1333175.86,3996509.72
2017,7,LVDPA0130,223,5331739.69,14942089.54
2017,7,LVDPA0131,198,1336276.13,2898356.94
2017,7,LVDPA0132,198,2965292.85,6866275.23
2017,7,LVDPA0133,256,2017345.60,5660050.38
2017,7,LVDPA0134,241,3228801.07,11218114.10
2017,7,LVDPA0135,132,1224758.24,3470080.09
2017,7,LVDPA0136,208,2655196.51,5802420.29
2017,7,LVDPA0137,293,3578557.37,8885356.59
2017,7,LVDPA0138,944,10781829.76,30075246.30
2017,7,LVDPA0139,234,3113193.63,8484520.20
2017,7,LVDPA0140,305,8067131.57,18377526.19
2017,7,LVDPA0141,282,3409912.00,12386509.60
2017,7,LVDPA0142,460,6490473.05,19126276.51
2017,7,LVDPA0143,84,636042.25,1384545.92
2017,7,LVDPA0144,299,4002384.43,12929531.43
2017,7,LVDPA0146,240,2867968.39,6917365.68
2017,7,LVDPA0147,2626,52445065.99,167542371.76
2017,7,LVDPA0148,129,1091724.29,2393418.07
2017,7,LVDPA0149,194,2395597.71,5671328.16
2017,7,LVDPA0150,107,703603.62,1764256.17
2017,7,LVDPA0151,153,1783075.84,4381760.11
2017,7,LVDPA0152,452,6091792.67,14809637.13
2017,7,LVDPA0153,402,4706669.59,12762094.32
2017,7,LVDPA0154,171,1860616.36,4774428.28
2017,7,LVDPA0155,433,6671989.19,16485142.37
2017,7,LVDPA0156,171,1957020.99,4842883.66
2017,7,LVDPA0157,117,835038.47,2543821.33
2017,7,LVDPA0158,121,1188752.25,2752089.91
2017,7,LVDPA0159,177,1804643.30,3281950.51
2017,7,LVDPA0160,72,941266.00,1959668.52
2017,7,LVDPA0161,228,1984092.39,6236579.99
2017,7,LVDPA0162,109,926207.91,2715083.67
2017,7,LVDPA0163,211,2058580.74,4863402.12
2017,7,LVDPA0164,144,977443.52,2319210.41
2017,7,LVDPA0165,210,2826281.01,7806237.12
2017,7,LVDPA0166,387,5691703.03,15336488.99
2017,7,LVDPA0167,655,7838454.53,20142940.93
2017,7,LVDPA0169,186,2266259.26,6419874.58
2017,7,LVDPA0170,84,1161952.08,3601442.12
2017,7,LVDPA0171,275,3259803.27,8035902.35
2017,7,LVDPA0172,339,3673188.67,8990289.19
2017,7,LVDPA0173,287,2918006.51,6799849.34
2017,7,LVDPA0174,207,1918824.75,4294093.43
2017,7,LVDPA0175,133,1582521.50,5026858.55
2017,7,LVDPA0176,170,862657.00,2195430.11
2017,7,LVDPA0177,201,1068534.13,2422790.48
2017,7,LVDPA0178,122,1053083.25,3336155.20
2017,7,LVDPA0179,268,2700828.81,6242115.32
2017,7,LVDPA0180,1138,21856434.95,71208987.94
2017,7,LVDPA0181,83,964464.14,1908287.96
2017,7,LVDPA0182,119,914927.44,2647002.55
2017,7,LVDPA0183,103,1451668.74,3650723.74
2017,7,LVDPA0184,124,936035.69,1993183.25
2017,7,LVDPA0185,1394,25436521.85,58388323.43
2017,7,LVDPA0186,221,2617718.80,6243449.91
2017,7,LVDPA0187,199,2907985.06,8359929.11
2017,7,LVDPA0188,56,1033226.96,2253015.88
2017,7,LVDPA0189,329,3400990.57,10458456.63
2017,7,LVDPA0190,491,7447365.46,19130290.54
2017,7,LVDPA0191,74,638475.66,1605941.92
2017,7,LVDPA0192,159,1677680.27,3571563.90
2017,7,LVDPA0193,230,2242733.96,6869420.48
2017,7,LVDPA0194,47,467439.27,1131995.38
2017,7,LVDPA0196,134,1301911.45,3655432.32
2017,7,LVDPA0197,341,4899205.68,12278498.00
2017,7,LVDPA0198,154,1271473.60,3186860.76
2017,7,LVDPA0199,144,2680976.19,5731360.30
2017,7,LVDPA0200,99,1042607.70,3430543.65
2017,7,LVDPA0201,141,1318199.46,3392748.89
2017,7,LVDPA0202,56,297786.19,704683.54
2017,7,LVDPA0203,228,2603508.07,7163530.86
2017,7,LVDPA0204,280,4366275.12,12212322.48
2017,7,LVDPA0205,99,950981.70,2490637.19
2017,7,LVDPA0206,117,1181550.78,3324596.69
2017,7,LVDPA0207,118,1185206.44,2556430.50
2017,7,LVDPA0208,186,2387737.67,7144721.23
2017,7,LVDPA0209,74,504279.97,1513768.87
2017,7,LVDPA0210,108,1720456.49,4021998.70
2017,7,LVDPA0211,160,2073321.56,5385379.25
2017,7,LVDPA0212,109,1006912.45,2468316.33
2017,7,LVDPA0213,148,1765723.09,5169992.18
2017,7,LVDPA0214,103,488547.42,1113555.86
2017,7,LVDPA0215,208,1921879.32,5259130.73
2017,7,LVDPA0216,65,413399.51,1192163.62
2017,7,LVDPA0217,84,513563.67,1306191.12
2017,7,LVDPA0218,74,517439.17,1102489.37
2017,7,LVDPA0219,48,632603.16,1601433.97
2017,7,LVDPA0220,99,1555619.47,3468775.20
2017,7,LVDPA0221,537,8006770.48,21995623.70
2017,7,LVDPA0222,141,1630689.75,4552956.70
2017,7,LVDPA0223,110,1131942.24,3141812.69
2017,7,LVDPA0224,89,995743.84,2364466.52
2017,7,LVDPA0225,96,1039589.03,2419986.50
2017,7,LVDPA0226,185,2327843.56,6602643.07
2017,7,LVDPA0227,69,1223562.89,2432304.11
2017,7,LVDPA0228,140,1424424.71,3817361.03
2017,7,LVDPA0229,203,1810375.14,6388963.37
2017,7,LVDPA0230,53,448679.43,944317.20
2017,7,LVDPA0232,33,398267.22,1199504.77
2017,7,LVDPA0233,109,1265732.29,3680327.60
2017,7,LVDPA0234,279,3171034.25,7874261.29
2017,7,LVDPA0235,87,1412965.62,4053112.18
2017,7,LVDPA0236,70,694190.51,1901385.51
2017,7,LVDPA0237,114,839588.61,2187012.39
2017,7,LVDPA0238,127,1134650.15,2676080.07
2017,7,LVDPA0239,259,5724282.98,14258081.61
2017,7,LVDPA0240,48,587566.02,1557569.88
2017,7,LVDPA0241,43,331430.97,645572.35
2017,7,LVDPA0242,129,1484543.33,4107099.45
2017,7,LVDPA0243,285,3612080.78,11779847.48
2017,7,LVDPA0244,173,1367304.17,3550417.09
